統計区・町丁名,世帯数,人口,男,女,年,月
四十万町,819.0,2179.0,1060.0,1119.0,2017,3
三十苅町,670.0,1587.0,758.0,829.0,2017,3
額乙丸町,598.0,1461.0,697.0,764.0,2017,3
大額町,105.0,241.0,115.0,126.0,2017,3
額谷町,72.0,199.0,92.0,107.0,2017,4
四十万町,815.0,2168.0,1056.0,1112.0,2017,4
三十苅町,672.0,1589.0,761.0,828.0,2017,4
額乙丸町,622.0,1485.0,703.0,782.0,2017,4
大額町,106.0,241.0,115.0,126.0,2017,4
額谷町,72.0,200.0,93.0,107.0,2017,5
四十万町,814.0,2158.0,1052.0,1106.0,2017,5
三十苅町,671.0,1583.0,757.0,826.0,2017,5
額乙丸町,574.0,1446.0,692.0,754.0,2017,5
大額町,108.0,243.0,116.0,127.0,2017,5
額谷町,72.0,198.0,93.0,105.0,2017,6
四十万町,814.0,2161.0,1056.0,1105.0,2017,6
三十苅町,668.0,1571.0,750.0,821.0,2017,6
額乙丸町,569.0,1436.0,689.0,747.0,2017,6
大額町,108.0,243.0,116.0,127.0,2017,6
額谷町,70.0,196.0,92.0,104.0,2017,7
四十万町,816.0,2157.0,1055.0,1102.0,2017,7
三十苅町,672.0,1575.0,751.0,824.0,2017,7
額乙丸町,583.0,1448.0,695.0,753.0,2017,7
大額町,108.0,243.0,116.0,127.0,2017,7
額谷町,70.0,196.0,92.0,104.0,2017,8
四十万町,815.0,2160.0,1056.0,1104.0,2017,8
三十苅町,666.0,1566.0,748.0,818.0,2017,8
額乙丸町,634.0,1501.0,710.0,791.0,2017,8
大額町,108.0,243.0,117.0,126.0,2017,8
額谷町,69.0,194.0,90.0,104.0,2017,9
四十万町,812.0,2153.0,1053.0,1100.0,2017,9
三十苅町,665.0,1558.0,742.0,816.0,2017,9
額乙丸町,623.0,1485.0,731.0,754.0,2017,9
大額町,108.0,250.0,120.0,130.0,2017,9
額谷町,69.0,194.0,90.0,104.0,2017,10
四十万町,809.0,2146.0,1050.0,1096.0,2017,10
三十苅町,666.0,1558.0,742.0,816.0,2017,10
額乙丸町,574.0,1436.0,697.0,739.0,2017,10
大額町,108.0,249.0,119.0,130.0,2017,10
額谷町,69.0,194.0,90.0,104.0,2017,11
四十万町,809.0,2151.0,1054.0,1097.0,2017,11
三十苅町,663.0,1555.0,741.0,814.0,2017,11
額乙丸町,571.0,1430.0,692.0,738.0,2017,11
大額町,108.0,247.0,119.0,128.0,2017,11
額谷町,69.0,194.0,90.0,104.0,2017,12
四十万町,812.0,2155.0,1058.0,1097.0,2017,12
三十苅町,663.0,1550.0,740.0,810.0,2017,12
額乙丸町,622.0,1485.0,724.0,761.0,2017,12
大額町,109.0,249.0,119.0,130.0,2017,12
額谷町,69.0,193.0,89.0,104.0,2018,1
四十万町,812.0,2155.0,1055.0,1100.0,2018,1
三十苅町,664.0,1553.0,740.0,813.0,2018,1
額乙丸町,570.0,1434.0,692.0,742.0,2018,1
大額町,109.0,249.0,119.0,130.0,2018,1
額谷町,70.0,194.0,89.0,105.0,2018,2
四十万町,809.0,2151.0,1056.0,1095.0,2018,2
三十苅町,665.0,1557.0,740.0,817.0,2018,2
額乙丸町,646.0,1512.0,713.0,799.0,2018,2
大額町,109.0,249.0,119.0,130.0,2018,2
額谷町,70.0,193.0,88.0,105.0,2018,3
四十万町,805.0,2146.0,1053.0,1093.0,2018,3
三十苅町,663.0,1557.0,740.0,817.0,2018,3
額乙丸町,577.0,1449.0,700.0,749.0,2018,3
大額町,110.0,250.0,119.0,131.0,2018,3
額谷町,71.0,193.0,88.0,105.0,2018,4
四十万町,807.0,2145.0,1055.0,1090.0,2018,4
三十苅町,659.0,1547.0,738.0,809.0,2018,4
額乙丸町,591.0,1467.0,714.0,753.0,2018,4
大額町,110.0,249.0,118.0,131.0,2018,4
額谷町,69.0,190.0,87.0,103.0,2018,5
四十万町,808.0,2150.0,1057.0,1093.0,2018,5
三十苅町,661.0,1550.0,740.0,810.0,2018,5
額乙丸町,581.0,1461.0,707.0,754.0,2018,5
大額町,111.0,249.0,118.0,131.0,2018,5
額谷町,69.0,190.0,87.0,103.0,2018,6
四十万町,808.0,2146.0,1056.0,1090.0,2018,6
三十苅町,663.0,1545.0,738.0,807.0,2018,6
額乙丸町,586.0,1473.0,709.0,764.0,2018,6
大額町,110.0,248.0,118.0,130.0,2018,6
額谷町,69.0,190.0,87.0,103.0,2018,7
四十万町,810.0,2147.0,1056.0,1091.0,2018,7
三十苅町,663.0,1548.0,742.0,806.0,2018,7
額乙丸町,591.0,1480.0,712.0,768.0,2018,7
大額町,110.0,249.0,119.0,130.0,2018,7
額谷町,69.0,190.0,88.0,102.0,2018,8
四十万町,809.0,2148.0,1055.0,1093.0,2018,8
三十苅町,660.0,1541.0,740.0,801.0,2018,8
額乙丸町,628.0,1515.0,734.0,781.0,2018,8
大額町,110.0,247.0,119.0,128.0,2018,8
額谷町,69.0,190.0,88.0,102.0,2018,9
四十万町,813.0,2154.0,1062.0,1092.0,2018,9
三十苅町,660.0,1538.0,742.0,796.0,2018,9
額乙丸町,619.0,1511.0,733.0,778.0,2018,9
大額町,110.0,247.0,119.0,128.0,2018,9
額谷町,68.0,189.0,88.0,101.0,2018,10
四十万町,811.0,2158.0,1064.0,1094.0,2018,10
三十苅町,657.0,1533.0,738.0,795.0,2018,10
額乙丸町,596.0,1490.0,717.0,773.0,2018,10
大額町,108.0,245.0,119.0,126.0,2018,10
額谷町,68.0,190.0,89.0,101.0,2018,11
四十万町,812.0,2162.0,1064.0,1098.0,2018,11
三十苅町,653.0,1525.0,736.0,789.0,2018,11
額乙丸町,636.0,1534.0,748.0,786.0,2018,11
大額町,109.0,249.0,122.0,127.0,2018,11
額谷町,68.0,191.0,89.0,102.0,2018,12
四十万町,809.0,2160.0,1063.0,1097.0,2018,12
三十苅町,651.0,1516.0,730.0,786.0,2018,12
額乙丸町,638.0,1530.0,737.0,793.0,2018,12
大額町,109.0,248.0,122.0,126.0,2018,12
額谷町,68.0,190.0,89.0,101.0,2019,1
四十万町,808.0,2158.0,1064.0,1094.0,2019,1
